title,headline,media,inspiration,what_it_does,how_we_built_it,challenges,accomplishments,lessons,whats_next,built_with,demos
The Homelessness Empathy Experience (CDCW),"
    Homeless people are not defined by their circumstances. This VR experience explains the systemic issues that leads to homelessness and can be used as a tool to increase funding for the CDCW.
  ",['https://player.vimeo.com/video/674133617?byline=0&portrait=0&title=0#t='],"We're all guilty of it-when we're rushing down the street and a homeless person starts asking for money, you simply ignore them and move on. A person who is homeless is much more than their circumstances, and should be treated as a person. There needs to be more empathy involved with the homeless. One does not simply become homeless because they're lazy, can't hold a job, etc. These issues need to be thrown out and we need to address the systemic issues that lead to homelessness.","Our virtual reality experience allows a person who has had the privilege of a roof over their heads for their whole life to feel what it's like to be homeless. We are aiming to bridge the gap between homelessness and empathy. Users are able to go into the first room, which shows some of the hardships that one faces before they become homeless. Room 2 shows what it is like to be living without a home.","Using Unity and C#, we built this Virtual Reality Experience. ",,We are super proud that we were able to create an entire VR experience in 48 hours. We are also excited for the ways that this can be implemented.,,"This project will be shown to the CDCW and will be used for a variety of purposes. It can be used to raise funds, as it can be a way to show granters what homeless is really like. It will also be used to jumpstart the forthcoming social media revamp and as a way for new volunteers to the shelter to better connect with their work.  ","['c#', 'unity']",
Circles: Media Engagement Hack-Waltham Partnership for Youth,"
    We designed a specialized media engagement platform, Circles, to bridge the gap between the youth and Waltham Partnership for Youth staff as well as urge students to expand their circle of influence. 
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/672/datas/gallery.jpg', 'https://www.youtube.com/embed/IDWugdaL38E?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/672/datas/original.gif', None]","When we were brainstorming, we talked about how we wanted to partner with Waltham Youth Partnership because of the plethora of opportunities and internships they provide to fight against inequalities and inequities. As a team of diverse students who know the struggles of finding internships and opportunities, we personally related to WYP’s mission and wanted to help improve their presence and communication. We created the online, media engagement platform, Circles, to allow students to get connected without feeling like they are being held back by social barriers as well as enable access to opportunities for Waltham's youth. ","Circles targets the exposure of WYP online presence, external communication, and connecting youth to resources. Users are able to make a profile, share their personal circles of interest, and connect to staff, program leaders, and other students through an online forum. This will serve as a way for students to build their network and learn more about volunteer opportunities and educational internships. ","We communicated to the Board Fellow of WYP, Markia Neufville, to ask her about impeding improvements and issues they want to address with their WYP website. We have built the website for Circles using Html, CSS, SCSS, Dango, and Javascript to strengthen communication between the youth and staff in an interactive manner as well as urge students to expand their circle of influence.","Our biggest challenge was narrowing down a broad list of ideas we wanted to do. Partnering with WYP inspired us to think about the biggest problems that students often face and, therefore, we had many goals on our list that we wanted to achieve. Through the brainstorming process, we learned more about practicality, compromises, and time management. Another big challenge, we faced was developing the forum and messaging platform. However, with time, patience, and drive, this was accomplished.","We are proud of our team for being motivated to help social good and overturning the little stumbling blocks we faced throughout this hackathon. This was our first hackathon, so there were new challenges we have faced from learning how to participate in one in general and how it works. Building a website in two days is an accomplishment itself! So we are proud to come together for a cause, brainstorm new ideas, and build a method and a website to improve the presence of our nonprofit. ","We learned that working as a team towards a common goal makes anything possible - even within 2 days! We learned about the importance of time management, planning, and task delegation. ",,"['css', 'django', 'html5', 'javascript', 'scss']",['https://github.com/qiushitian/Circle_v2']
Clipper Ship Foundation,"
    An Algorithm to detect how well the person is doing 
  ",['https://www.youtube.com/embed/FoN5g_EYITw?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],The team is passionate about writing a brand-new algorithm to detect a person's wellbing,,"Coding in Java, metrics based on OECD",Importing Natural Language Processing packages,,,,['javascript'],
"CMe: Connect, Communicate, and Create","
    Members of OFI love making friends, but there is no way for them to meet others outside of OFI Waltham. CMe leverages the Arc network so they can connect, communicate, & create with their communities.
  ",['https://www.youtube.com/embed/97dw-WdIPZY?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"A few of our team members are on sports teams and have team impact players, who are members of I.D.D communities. These impact players get to be a part of the sports teams by going to practices, watching games, and even having a headshot on the rosters. Outside of this, the impact players love to message the Brandeis Athletes constantly on social media, but the athletes are too busy with sports and school to fully engage with them on a daily basis. Through this experience as well as speaking with Joanne Raymond, Director of Marketing and Development at OFI, our team decided to design an app that would address this gap of no social networking platforms for members of the I.D.D. communities.","CMe is an app where members of OFI and the Arc can connect, communicate, and create with people they identify with. CMe will allow OFI members to go beyond their Waltham program and access to members of over 600 other Arc locations. This app is not only safer than other forms of social media, but it is curated just for them. ",We mainly used Figma for sketching out the wireframe of our app. We also used Animaker to create our videos with an animation effect.,"Lack of time is the biggest challenge that we came across. Although the ultimate goal would be to develop an app, we decided to use wireframe to showcase the layout and functionalities of our app due to the 48-hour time constraint.","We are proud that we managed to create a good visualization of our plans and come up with a way for members of OFI to connect and communicate with people with similar life experiences and interests, which they wouldn’t be able to do in the past.","We learned how to split up the work efficiently within our team. We worked together on building up the conceptual model, and while Jolie and Sabrina focused on creating the narratives of the story and making the pitch video, Jared and Ellen designed the wireframe. We also developed new skills and learned to use tools like Figma and Animaker.",,"['animaker.com', 'figma.com']",['https://www.figma.com/file/B1QZjfTxVk3ZemOaOjo5g4/CMe_Wireframes?node-id=0%3A1']
MassIPL,"
    Project focused on a website redesign to help MassIPL reposition itself towards a broader audience.
  ",['https://www.youtube.com/embed/fkxfItkmRR4?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"Through conversation with the leaders at MassIPL, we learned that the organization is looking for more effective ways to increase the outreach of its energy-saving program to attract a more diverse pool of faith-based communities and individuals who care about climate justice. It also strives to be a thought leader in educating the faith-based communities on the necessity and benefits of reducing their carbon footprint. However, its current positioning makes the organization looks like a religious organization that serves a relatively exclusive group of houses of worship, which puts constraints on its ability to increase member diversity and gain access to funding channels. We quickly realized that these challenges present opportunities. We created a brand new website that showcases their unique secular position and an effective tool, the environmental stewardship calculator, that will drastically increase member engagements. ",,"MassIPL’s new website was created on Weebly. The design process started in Figma before we brought it to life through our development process. 
For the front-end of the new website, we build the main body of the website with the help of Weebly’s design capabilities. We then created links in between web pages to realize the design flow and make sure it is convenient and clear to the users. For the calculator, we built an algorithm that returns results based on the different variables.","It took us some time to figure out the correct logic behind the website design. Our goal was to make the website as easy to use as possible while getting our message across. The process of creating the calculator and incorporating it into the website was also a challenge as none of us had previous experience. The purpose of the calculator is to increase user engagement, so we wanted to make sure the questions we ask can do exactly that. Moreover, we were careful about finding the right balance between getting our image across as a secular organization and the fact that we are providing services to faith-based organizations. ","We are glad that we built a fresh website whose purpose and content complement the existing website well. It helps the organization to promote its secular image and brings in traffic from not only houses of worship, but also individuals who care about climate justice in general. 
We wanted to simplify facing the issue MassIPL addresses. The calculator was a key component is doing this because successfully tackling energy inefficiency can seem like a difficult mountain to climb but by basing our suggestions around each unique situation, houses of worship will be able to take incremental steps leading to substantial and sustainable impact which is our goal!","This is our first time working with Weebly to create a website. As with any new program, there was a steep learning curve, made more difficult by the short time period. Additionally, after Larry Goldberg's inspiring Keynote, we were prompted to explore how we could make our design as ADA compliant as possible and while this hack may not have been “Born Accessible”, a majority of the design components had been completed beforehand, edits were made prior to the implementation. 
Additionally, for half our team, this was the first time hearing about MassIPL and the bigger movement combating energy inefficiency. So we prioritized taking the time to educate ourselves about the connection between faith-based organizations and climate change and the different ways they can make an impact.  ",MassIPL will continue to do outreach to educate more and more houses of worship on their duties to protect the earth and help them one step at a time. We see MassIPL capable of wielding the power and support from faith-based communities to demand meaningful and impactful social and political changes. ,"['adobe', 'canva', 'figma', 'premiere', 'weebly']","['http://massiplinc.org', 'https://drive.google.com/file/d/1LsJNpewQEDZgqfSGancTBU8bHZS9X-W-/view?usp=sharing']"
Land's Sake Farm - Rebranding to Increase Awareness & Impact,"
    Land's Sake has an acute branding problem, resulting in people being largely unaware of the full scope of their work. Our solution creates a simple, elegant homepage and a stamp to engage customers.
  ",,,,,,,,,"['3dprinting', '3drendering', 'wordpress']",['https://drive.google.com/file/d/1wNaMoIMFFdMoOyvIP0hBk2yaM5f93CVA/view?usp=sharing']
Charles River Museum Scavenger Hunt Map,"
    An interactive map that orients visitors around the museum.
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/369/datas/gallery.jpg', 'https://www.youtube.com/embed/ucpczCWysV0?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/825/369/datas/original.jpeg']","The Charles River Museum will reopen in April and the staff are trying to promote it as much as possible. Since the museum is difficult to find if you don't know the location well (even Google Maps doesn't lead you straight there!), we decided to turn this disadvantage into an attraction to tourists by integrating a scavenger hunt game with the map.","Our webpage contains a new map (a modified version of an older map) with directions for getting to the museum as well as the floorplan for the museum. Visitors can scan the QR code that will be posted at nearby parking lots and local businesses or at the museum entrance itself to get the map of the surrounding area with clear directions on how to get to the museum, as well as maps that show how to navigate both floors of the museum. By scanning QR codes placed throughout the museum in different exhibits, visitors will be able to access information about the exhibits on their phones and get a chance to find ""easter eggs""! Prizes will be awarded to those who successfully complete the scavenger hunt; these prizes will be small gifts like movie tickets and restaurant coupons donated by local businesses in exchange for promotion at the museum. We believe this collaboration with local businesses, especially other non-profits in the area, will promote mutually beneficial business within the community and will lead to future collaborations that could include co-hosting cultural events at the museum and/or more cross-promotional advertising between businesses with which we form partnerships. The map we created also highlights a few other local businesses to use as landmarks for finding the museum; this map could be redesigned in the future to be even more detailed and include more businesses. ","We based our interactive page on the Ruby on Rails framework and the static page using Webflow. We also imported a QR code generator, but it's up to the museum to decide whether they want to use a separate QR code generator or a built-in generator. We also made use of the websites freeonlinsurveys.com and wheelofnames.com to create our scavenger hunt quiz and wheel of fortune to generate randomized prizes. ","In the beginning, we had trouble figuring out how to create an easy-to-navigate map since even Google Maps was not accurate in locating the museum and how to get to its entrance. We decided to use QR codes to show visitors a simple map with clear walkways to the museum and QR codes within the museum to link users to different exhibits that would help them complete the scavenger hunt we created. Through this simplification of the map, we were able to achieve basic approximate user orientation while avoiding the technical difficulty of GPS location.","We were able to implement a website prototype within one day, and the website dynamic is such that museum's staff can change the map or edit exhibit information in the future. As a result, our product is easy to maintain, even for a crew who knows nothing about coding.
We also developed a marketing plan to collaborate with many local businesses in Waltham that we hope will benefit the entire local community along with the museum. ","We have gained much experience from building the website, including designing the UI and designing and implementing the database. We also had a great discussion with museum staff and mentors at the hackathon to learn about developing market proposals. We learned about how to run a non-profit organization and tried to explore the possibility of the operation of a social enterprise. ","The website UI is rather rudimentary right now. It needs to be upgraded to be even more user-friendly in the future, and it would be great if we could connect it with the museum's Virtual Matterport (the virtual reality version of the museum) in a more integrated way instead of by directing users only to links to this. 
It is also necessary to start reaching out to local restaurants and businesses near the museum to form partnerships and sponsorships.","['canvas', 'css', 'html', 'javascript', 'postgresql', 'ruby-on-rails', 'webflow']","['https://github.com/SusanLiiii/Museum_Map', 'https://afternoon-sands-83549.herokuapp.com/user/login', 'https://charles-river-museum.webflow.io/']"
CRM's Almost Forgotten Immigrant Inventors Exhibit,"
    An interactive online exhibit that creates an immersive experience for high school visitors using virtual reality, an inventor map, quizzes, and bios of those inventors who are almost forgotten.
  ",['https://www.youtube.com/embed/p_8XE9k7QgQ?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],"Everyone knows the names of the great inventors: Thomas Edison, Alexander Graham Bell, and even Steve Jobs. They invented products that changed our everyday life and were rewarded handsomely for it. Their inventions brought them great financial success.However, not all inventors were that lucky. There are many stories of inventors whose inventions are an integral part of our daily life, but they either never received the recognition they deserved or failed to profit from the success of their inventions. Even more so, we celebrate Almost Forgotten Immigrant Inventors who have contributed their life's work and benefit our society while working and studying in the United States of America.",We are most proud of our immersive experience through our website wherein we will be able to engage with the future of our nation and encourage them to pursue a career in creative solutions. We encourage that through our immersive AR/VR online exhibition.,We developed the site using Google Sites. The VR 3D model is built using Blender.,Team Communication.,,"We learned not to be such perfectionists and work together as a team.
Don't give up and it is perfectly fine to ask for help.",Adding more features and expanding the exhibits. Expand the number of AFI on the sites and their biographies. Add some new problems that students can think about.,"['blender', 'google']",['https://sites.google.com/view/charlesrivermuseum-afii/home']
Digital homes,"
    Homei
  ",,,,,,,,,['python'],['http://tp.com']
Leland Home Hack,"
    Our project makes an application for employees to update their daily reports and a dashboard for employers to keep track of employees' working status
  ",['https://www.youtube.com/embed/VAvVclaUVsw?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent'],The hack inspired us that we can do so much more than we can imagine,The APP allows employees to register into the database of Leland and upload their daily report through the APP. The information can be processed and then displayed on the dashboard. ,We built it using Jotform platform. The APP consists of muiltiple online forms that can be updated and compile into the system of Leland Home,"There are many constraints in the elder care industry. Instead of focusing on how “clients” who are aged 60-102 can benefit from technology, we decided it’s more efficient to introduce technology to care givers who are more technology savvy.  ",None of us have participated in any Hackathons before. It’s was amazing how our bonded over the last 48 hours and teach ourselves technology concepts. ,We learned how to use Jotform to build an APP and also how to work in teams in an effective way,"The hack can be refined. As for our team, next step is a good night of sleep and a fun board game. ",['jotform'],
HOPE Worldwide Rebranding,"
    Full rebrand for the organization HOPE Worldwide
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/902/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/899/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/900/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/903/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/901/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/898/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/897/datas/gallery.jpg', 'https://www.youtube.com/embed/91k71mTrQC0?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/902/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/899/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/900/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/903/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/901/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/898/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/897/datas/original.png']","We were inspired by HOPE worldwide's mission and wanted to fully embody this through our rebranding. As for visual inspiration, we took inspiration from the websites of similar non-profit organizations, such as 4oceans.","So how did we rebrand Hope Worldwide? We crafted a unique logo for them, which is essential for any organization to have. Logos are the face of the organization because organizations may have similar names, but a logo will help any organization stand out from the rest.What else must an organization have to build their brand? In the digital age, a website. Websites are essentially the digital resume of the organization. Any resume must be organized, easy on the eyes, and concisely packed with information, and the same applies with websites. ","We made the logo based on the current color theme and the mission of the website, with some adjustments to better suit the organization as a whole. We then organized all of the info that is currently on their website, grouping similar elements together in their own webpages. Lastly, we conveyed this visually through the use of Figma.","Our biggest challenge was concisely organizing the load of information the site had - particularly on the homepage. We found that there was too much info on the homepage, so much that it doesn't compel users to look at the other pages in the website. With our new website organization, though, we believe that our formatting will help retain others' interest in both the website and its associated organization.","We're particularly proud of the logo and organization of the site, because of how effectively they work together.","We learned the need to prioritize aspects that make a successful marketing plan. Additionally, this project emphasized to us the importance of logos and avoiding visual overload on a website. Lastly, we learned how to incorporate user experience into marketing strategies.","We plan to implement our new website design and see the impact is has on the site's visitors (retention and click-through rates). Additionally, we want to further develop the organization of the site to make good use of the screen's space and user experience. ",['figma'],
MedPromatic,"
    A one-stop shop for all medical needs
  ",,,,,,,,,"['cloud', 'css', 'dart', 'firebase', 'firebase-authentication', 'firestore', 'flutter', 'google-maps', 'react']",['https://github.com/sunflower12125/medPromatic.git']
HeatSmart Alliance Digitization of Customer Journey,"
    CRM Portal
  ","['//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/714/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/715/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/716/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/717/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/718/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/719/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/720/datas/gallery.jpg', '//d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/779/datas/gallery.jpg', 'https://www.youtube.com/embed/nZYNIFLLvqw?enablejsapi=1&hl=en_US&rel=0&start=&version=3&wmode=transparent', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/714/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/715/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/716/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/717/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/718/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/719/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/820/720/datas/original.png', 'https://d112y698adiu2z.cloudfront.net/photos/production/software_photos/001/824/779/datas/original.png']","We were inspired by HeatSmart Alliance’s mission to tangibly reduce greenhouse gas emissions by helping MA residents choose the best heat pump installation and by the dedication and expertise of the HSA volunteer coaches and staff. At the current state, HeatSmart Alliance coaches currently rely on collecting customer information via email correspondence and the organization’s digital presence is minimal. We hope to offer a digital platform that can benefit the organization to help increase its outreach in the future and capture valuable data on the heating cooling landscape in MA.","The HSA portal was created to be a customer relationship management (CRM) tool that eliminates the manual administrative steps of collecting data, so coaches can focus more on educating and coaching customers. MA 2030 Clean Energy & Climate Plan calls for 1M heat pumps by 2030. The result of digitizing these processes will help free up each coach’s time and in turn, help expand their reach to accelerate the adoption of energy-efficient heat pumps in MA homes and buildings.","We created a mockup on Figma to lay out the web pages and their connections to each other. Afterward, we used EditorX to create the website.","HeatSmart Alliance currently utilizes WordPress for its main website. For this project, we decided to go with the no-code approach due to the learning curve required with WordPress. We used Wix’s Editor X, a web development service. While using the platform, we ran into some roadblocks that required a paid subscription to the service. This included giving custom login information, assigning roles, and building a separate private messaging system.","The team is most proud of our accomplishments with functional buttons, creating a complete webpage flowchart, our presentation, our submenu and menu bar, the ability to upload files, and adding a “leave a rating” feature.","Many of our team members were new to web design and development. We learned to use Figma to create a website mockup and create a website with EditorX. We learned how to add a feature to upload files, design menu and submenu bars, and create coach and client-only pages. ",,['editorx'],['https://jalynallen.editorx.io/heatsmartalliance']
